240
0.250000,0.000000
0.750000,0.000000
1.250000,0.000000
1.750000,0.000000
2.250000,0.000000
2.750000,0.000000
3.250000,0.000000
3.750000,0.000000
4.250000,0.000000
4.750000,0.000000
5.250000,0.000000
5.750000,0.000000
6.250000,0.000000
6.750000,0.000000
7.250000,0.000000
7.750000,0.000001
8.250000,0.000085
8.750000,0.004542
9.250000,0.000000
9.750000,0.000002
10.250000,0.000088
10.750000,0.001919
11.250000,0.026562
11.750000,0.006369
12.250000,0.053516
12.750000,0.334871
13.250000,1.637077
13.750000,6.512778
14.250000,21.945335
14.750000,64.282707
15.250000,165.992569
15.750000,383.823608
16.250000,808.441895
16.750000,1571.093872
17.250000,2846.901855
17.750000,4853.722656
18.250000,7880.112793
18.750000,12216.404297
19.250000,18155.947266
19.750000,26001.542969
20.250000,36079.593750
20.750000,48679.316406
21.250000,63966.378906
21.750000,82091.578125
22.250000,103183.421875
22.750000,127401.781250
23.250000,154622.109375
23.750000,184802.031250
24.250000,217738.015625
24.750000,253244.406250
25.250000,291110.343750
25.750000,331147.187500
26.250000,373022.687500
26.750000,419483.281250
27.250000,474960.875000
27.750000,532977.625000
28.250000,592798.375000
28.750000,653998.375000
29.250000,716149.062500
29.750000,778921.312500
30.250000,841919.500000
30.750000,904694.875000
31.250000,966908.187500
31.750000,1028332.125000
32.250000,1088777.625000
32.750000,1147841.875000
33.250000,1205306.500000
33.750000,1261162.875000
34.250000,1315228.125000
34.750000,1367189.625000
35.250000,1416975.000000
35.750000,1464460.500000
36.250000,1509593.500000
36.750000,1552315.500000
37.250000,1592607.500000
37.750000,1630467.375000
38.250000,1665876.875000
38.750000,1698901.500000
39.250000,1729551.625000
39.750000,1757870.625000
40.250000,1783968.375000
40.750000,1807688.125000
41.250000,1829220.875000
41.750000,1848789.000000
42.250000,1866261.625000
42.750000,1881712.750000
43.250000,1895205.125000
43.750000,1906808.000000
44.250000,1916599.375000
44.750000,1924642.125000
45.250000,1931025.750000
45.750000,1935809.500000
46.250000,1939067.375000
46.750000,1940872.500000
47.250000,1941289.000000
47.750000,1940390.500000
48.250000,1938233.250000
48.750000,1934890.875000
49.250000,1930415.750000
49.750000,1924866.750000
50.250000,1918445.500000
50.750000,1911280.625000
51.250000,1903212.125000
51.750000,1894377.250000
52.250000,1884734.750000
52.750000,1874327.875000
53.250000,1863201.000000
53.750000,1851398.250000
54.250000,1838977.750000
54.750000,1825980.250000
55.250000,1812435.625000
55.750000,1798371.000000
56.250000,1783840.500000
56.750000,1768858.625000
57.250000,1753473.625000
57.750000,3134960.250000
58.250000,2851613.750000
58.750000,1705192.625000
59.250000,6186605.000000
59.750000,2287446.750000
60.250000,1654222.500000
60.750000,1636687.375000
61.250000,1618953.750000
61.750000,1601057.250000
62.250000,1583012.125000
62.750000,1564832.000000
63.250000,1546581.750000
63.750000,1528314.750000
64.250000,1509962.000000
64.750000,1491547.625000
65.250000,1473069.000000
65.750000,1454570.250000
66.250000,1436038.000000
66.750000,1454067.125000
67.250000,2441236.000000
67.750000,1380364.750000
68.250000,1361810.000000
68.750000,1517271.125000
69.250000,1695409.500000
69.750000,915099.375000
70.250000,908071.750000
70.750000,900793.875000
71.250000,893289.375000
71.750000,885574.625000
72.250000,877644.375000
72.750000,869522.437500
73.250000,861218.000000
73.750000,852741.062500
74.250000,844100.562500
74.750000,835305.437500
75.250000,826371.937500
75.750000,817294.625000
76.250000,808097.187500
76.750000,798781.750000
77.250000,789357.312500
77.750000,779825.500000
78.250000,770203.000000
78.750000,760498.750000
79.250000,750714.500000
79.750000,740880.250000
80.250000,731018.437500
80.750000,721114.062500
81.250000,711151.625000
81.750000,701136.250000
82.250000,691074.625000
82.750000,680971.250000
83.250000,670832.000000
83.750000,660661.125000
84.250000,650463.812500
84.750000,640244.500000
85.250000,630007.937500
85.750000,619757.687500
86.250000,609498.562500
86.750000,599235.437500
87.250000,588970.312500
87.750000,578705.750000
88.250000,568446.687500
88.750000,558194.937500
89.250000,547954.750000
89.750000,537727.812500
90.250000,527517.937500
90.750000,517326.937500
91.250000,507157.218750
91.750000,497012.000000
92.250000,486892.812500
92.750000,476802.343750
93.250000,466741.937500
93.750000,456713.937500
94.250000,446720.687500
94.750000,436762.218750
95.250000,426842.281250
95.750000,416960.843750
96.250000,407120.187500
96.750000,397320.968750
97.250000,387565.375000
97.750000,377854.093750
98.250000,368188.500000
98.750000,358570.000000
99.250000,348998.375000
99.750000,339475.750000
100.250000,329994.781250
100.750000,320556.093750
101.250000,311171.031250
101.750000,301838.625000
102.250000,292560.875000
102.750000,283336.781250
103.250000,274168.406250
103.750000,265054.687500
104.250000,255997.578125
104.750000,246996.031250
105.250000,238051.437500
105.750000,229163.234375
106.250000,220331.812500
106.750000,211558.375000
107.250000,202841.828125
107.750000,194182.531250
108.250000,185581.578125
108.750000,177037.765625
109.250000,168552.265625
109.750000,160124.609375
110.250000,151754.343750
110.750000,143442.578125
111.250000,135188.859375
111.750000,126991.890625
112.250000,118853.593750
112.750000,110772.648438
113.250000,102750.132812
113.750000,94783.968750
114.250000,86876.000000
114.750000,79024.812500
115.250000,71230.921875
115.750000,63494.000000
116.250000,55813.757812
116.750000,48190.105469
117.250000,40622.792969
117.750000,33111.644531
118.250000,25656.412109
118.750000,18256.832031
119.250000,10912.715820
119.750000,3623.834961
